model,val_acc_mean,val_acc_std,val_recall_mean,val_recall_std,val_precision_mean,val_precision_std,val_f1_mean,val_f1_std
IRN_inter_intra,59.83,0.91,50.16,3.54,64.48,2.55,56.04,2.08
IRN_two_stream_att_proj_2000,59.7,1.08,50.22,5.65,64.12,4.0,55.67,3.4
IRN_temp_att_proj_2000,60.5,1.34,46.38,6.89,66.88,4.09,53.77,4.51
IRN_joint_att_no_rel,58.58,1.04,38.77,4.48,69.78,5.85,48.98,3.22
IRN_inter_aug,58.11,1.11,44.84,6.37,66.27,4.32,52.29,4.2
IRN_two_stream_no_rel,60.37,0.42,46.84,3.49,66.64,3.76,54.26,1.84
IRN_intra_no_aug,59.77,1.22,45.32,4.0,68.01,2.46,53.52,3.07
IRN_two_stream_avg,62.22,0.89,48.84,1.93,67.8,2.29,56.59,1.94
IRN_inter_no_aug,57.72,1.09,40.76,5.71,67.61,5.19,49.41,4.12
IRN_two_stream_att_no_rel,59.04,0.95,45.71,3.81,64.85,3.72,53.08,1.77
IRN_two_stream,60.9,1.16,53.15,2.28,64.8,2.73,58.18,2.42
IRN_two_stream_att_avg,59.84,1.28,47.51,2.59,66.98,1.88,55.36,2.07
IRN_two_stream_no_rel_avg,61.36,1.3,47.71,3.5,69.84,3.6,56.06,2.08
IRN_fc1_inter_intra,60.17,0.94,49.15,6.94,65.25,3.49,55.0,4.61
IRN_joint_att_proj_2000,57.85,1.37,43.13,5.91,68.24,6.6,51.2,3.81
IRN_two_stream_att_no_rel_avg,60.3,1.02,42.87,3.92,70.02,3.2,52.69,3.73
IRN_temp_att,60.3,1.15,47.82,4.71,65.59,4.13,54.09,2.99
IRN_temp_no_rel,59.76,1.03,45.9,6.35,65.63,1.86,53.15,4.54
IRN_joint_no_rel,58.25,0.61,43.6,6.51,66.11,4.57,51.5,4.12
IRN_temp_att_no_rel,58.98,1.25,43.19,5.96,63.63,4.15,50.61,4.11
IRN_joint,59.31,1.31,44.18,6.75,67.18,3.23,52.39,4.9
IRN_joint_att_no_rel_proj_2000,58.45,0.94,37.85,4.01,65.47,3.52,47.55,3.59
IRN_two_stream_att_no_rel_proj_2000,58.58,1.25,45.65,4.29,64.99,3.01,53.02,2.93
IRN_joint_att,58.38,1.51,42.61,4.08,67.06,6.18,51.13,2.69
IRN_two_stream_att,59.24,1.05,51.94,3.57,64.63,2.79,57.19,2.16
IRN_temp_att_no_rel_proj_2000,58.84,1.39,44.04,3.76,64.22,2.75,51.36,2.66
IRN_temp,61.56,1.14,50.68,6.79,64.91,2.46,55.85,4.44
IRN_intra_aug,59.24,0.91,49.22,4.08,65.44,3.24,55.66,2.62
